FGS64, 02, 4, 0, Dehn-Knight, German 2, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FJS62, 01, 4, 0, Helinski, Japanese 1, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FJS64, 01, 2, 0, Helinski, Japanese 2, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FJS64, 02, 3, 0, Helinski, Japanese 2, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FJS66, 01, 9, 0, Helinski, Japanese 3, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FJS88X, 01, 8, 0, Helinski, AP Japanese Language, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128051&type=d&pREC_ID=253736
FLS62, 01, 2, 0, Brockman, Latin 1, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FLS62, 02, 6, 0, Brockman, Latin 1, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FLS64, 01, 9, 0, Brockman, Latin 2, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FLS66, 01, 3, 0, Brockman, Latin 3, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FLS88X, 01, 7, 0, Brockman, AP Latin Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128051&type=d&pREC_ID=253749
FMS62, 01, 2, 0, Pan, Mandarin 1, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FMS62, 02, 4, 0, Pan, Mandarin 1, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FMS62, 03, 6, 0, Pan, Mandarin 1, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
